name,type,units,sampling_frequency,group,status,status_description
Fp1,ECOG,uV,1024,Fp,good,
Fpz,ECOG,uV,1024,Fp,good,
Fp2,ECOG,uV,1024,Fp,good,
F7,ECOG,uV,1024,F7,good,
F3,ECOG,uV,1024,F3,good,
Fz,ECOG,uV,1024,Fz,good,
F4,ECOG,uV,1024,F4,good,
F8,ECOG,uV,1024,F8,good,
FC5,ECOG,uV,1024,FC,good,
FC1,ECOG,uV,1024,FC,good,
FC2,ECOG,uV,1024,FC,good,
FC6,ECOG,uV,1024,FC,good,
M1,ECOG,uV,1024,M1,good,
T7,ECOG,uV,1024,T7,good,
C3,ECOG,uV,1024,C3,good,
Cz,ECOG,uV,1024,Cz,good,
C4,ECOG,uV,1024,C4,good,
T8,ECOG,uV,1024,T8,good,
M2,ECOG,uV,1024,M2,good,
CP5,ECOG,uV,1024,CP,good,
CP1,ECOG,uV,1024,CP,good,
CP2,ECOG,uV,1024,CP,good,
CP6,ECOG,uV,1024,CP,good,
P7,ECOG,uV,1024,P7,good,
P3,ECOG,uV,1024,P3,good,
Pz,ECOG,uV,1024,Pz,good,
P4,ECOG,uV,1024,P4,good,
P8,ECOG,uV,1024,P8,good,
POz,ECOG,uV,1024,PO,good,
O1,ECOG,uV,1024,O1,good,
O2,ECOG,uV,1024,O2,good,
EOG,ECOG,uV,1024,EO,good,
AF7,ECOG,uV,1024,AF,good,
AF3,ECOG,uV,1024,AF,good,
AF4,ECOG,uV,1024,AF,good,
AF8,ECOG,uV,1024,AF,good,
F5,ECOG,uV,1024,F5,good,
F1,ECOG,uV,1024,F1,good,
F2,ECOG,uV,1024,F2,good,
F6,ECOG,uV,1024,F6,good,
FC3,ECOG,uV,1024,FC,good,
FCz,ECOG,uV,1024,FC,good,
FC4,ECOG,uV,1024,FC,good,
C5,ECOG,uV,1024,C5,good,
C1,ECOG,uV,1024,C1,good,
C2,ECOG,uV,1024,C2,good,
C6,ECOG,uV,1024,C6,good,
CP3,ECOG,uV,1024,CP,good,
CP4,ECOG,uV,1024,CP,good,
P5,ECOG,uV,1024,P5,good,
P1,ECOG,uV,1024,P1,good,
P2,ECOG,uV,1024,P2,good,
P6,ECOG,uV,1024,P6,good,
PO5,ECOG,uV,1024,PO,good,
PO3,ECOG,uV,1024,PO,good,
PO4,ECOG,uV,1024,PO,good,
PO6,ECOG,uV,1024,PO,good,
FT7,ECOG,uV,1024,FT,good,
FT8,ECOG,uV,1024,FT,good,
TP7,ECOG,uV,1024,TP,good,
TP8,ECOG,uV,1024,TP,good,
PO7,ECOG,uV,1024,PO,good,
PO8,ECOG,uV,1024,PO,good,
Oz,ECOG,uV,1024,Oz,good,
BIP3,ECOG,uV,1024,BI,good,
BIP7,ECOG,uV,1024,BI,good,
BIP8,ECOG,uV,1024,BI,good,
BIP9,ECOG,uV,1024,BI,good,
BIP10,ECOG,uV,1024,BI,good,
BIP11,ECOG,uV,1024,BI,good,
BIP12,ECOG,uV,1024,BI,good,
