onset	stimamp
155857	0.35
162097	1.4
169991	1.4
174782	0
182761	1.575
194812	0.35
201706	0.35
206341	0.175
212404	1.225
220600	0.35
230509	1.225
235555	0.175
240171	0.875
248547	1.75
263974	1.575
275331	1.75
281966	0.35
293252	0.525
302674	0.875
310222	0.35
318933	0.7
328012	1.225
335574	0.875
345866	1.225
364925	1.75
371012	0.35
382926	1.575
388217	0.7
396258	0.175
405222	0.35
410815	0.35
416395	1.575
427946	1.575
441102	0.35
452631	1.4
458935	1.75
464026	1.225
471160	0
482900	0.875
488655	0.875
493427	1.05
504042	0.875
508989	0.875
519728	0.35
524848	0.525
529849	0.175
536893	1.575
544306	1.75
549171	1.4
564752	1.4
571895	1.4
578232	0.35
583870	0.7
594282	1.575
614326	0.7
626792	0.525
632257	1.4
636770	0
645053	0.175
649454	0.7
658421	1.575
670954	1.4
679253	1.575
685987	0.7
692227	1.225
699127	0.525
708236	1.225
720155	1.75
732232	0.7
744755	1.75
750530	0.875
758050	0
771369	1.05
777209	1.225
788625	0.7
793900	0.525
801015	0.875
807876	0.175
818687	0.875
824056	0.525
831073	1.4
848087	0.35
856003	1.75
861721	0.35
876811	0
883331	0.525
888329	0
895981	1.225
902109	0.875
911374	0.875
917804	0
927430	1.05
932744	0.35
938058	1.75
942640	1.75
980195	1.575
987790	1.75
1702426	1.05
1707516	0.175
1726101	0
1737344	0.175
1741955	1.575
1746549	1.225
1754190	0.7
1759433	1.4
1764121	0.525
1770132	1.225
1778570	1.05
1786655	0.7
1794413	0.525
1800393	0.7
1807913	0.525
1812505	1.575
1821144	0.35
1829951	0
1834794	0.875
1841673	0.7
1847244	1.75
1860163	1.4
1867795	1.575
1882804	0.875
1888880	0.7
1894724	1.05
1899451	1.4
1905538	0.175
1911436	0.7
1916455	0.7
1923961	0.175
1931551	0.175
1936830	0.525
1942009	0
1953192	0.175
1972594	1.575
1988735	1.4
2001096	1.4
2012694	1.575
2018997	0
2037810	1.05
2045269	1.75
2051249	0.35
2064496	0.875
2074801	0.525
2084270	1.75
2095849	1.05
2104857	1.05
2110151	0.175
2119479	1.575
2124903	1.75
2131731	1.75
2138540	1.4
2144203	1.05
2149651	0.525
2154467	1.05
2166977	1.225
2172315	1.225
2183533	1.575
2202438	1.4
2215262	1.05
2227896	1.05
2240693	1.575
2245362	1.05
2255064	1.575
2259689	0.35
2265920	1.05
2270864	0.525
2279355	1.225
2289651	1.575
2300915	0.175
2307803	0
2317776	0.7
2327021	1.225
2348464	1.05
2355028	1.4
2359580	1.75
2364646	0.525
2388841	0.175
2395092	0.525
2403667	0
2416942	1.4
2423851	0
2431823	0
2438923	1.225
2443828	1.75
2456008	0.525
2463801	1.225
2479770	1.05
2488111	0.175
2493830	0.875
2507862	0.875
2513907	0.525
2523294	0.7
2529793	0.525
2541906	1.75
2549696	0.7
2571994	0.35
2582427	1.75
2592276	0
2599416	0
2610115	0
2618856	0
2624451	0.175
2632458	1.225
2648682	0
2656946	0.875
2664381	1.05
2669562	0.7
2678836	0.35
2684024	0.175
2690763	0.875
2707080	1.225
2716996	1.05
2723549	1.4
2730956	1.4
2741964	0.875
2752233	0.7
2757643	0.175
2764006	1.225
2776328	0.175
2782097	0.525
2790224	1.05
